캐릭터,파티,무기,성유물 이름
albedo,albedo(10) / itto(9) / gorou(8) / bennett(7) / fischl(6) / venti(6) / zhongli(6) / mona(5) / navia(5) / sucrose(5) / xiangling(5) / xiao(5) / xingqiu(5) / arlecchino(4) / kazuha(4) / klee(4) / noelle(4) / yelan(4) / cyno(3) / faruzan(3) / furina(3) / gaming(3) / hutao(3) / kokomi(3) / layla(3) / rosaria(3) / tartaglia(3) / yunjin(3) / ayaka(2) / ayato(2) / beidou(2) / chiori(2) / collei(2) / diluc(2) / kukishinobu(2) / nahida(2) / ningguang(2) / qiqi(2) / razor(2) / thoma(2) / wanderer(2) / xianyun(2) / xilonen(2) / yaemiko(2) / aloy(1) / amber(1) / barbara(1) / charlotte(1) / chevreuse(1) / chongyun(1) / citlali(1) / dahlia(1) / dori(1) / eula(1) / flins(1) / freminet(1) / ganyu(1) / heizou(1) / kaeya(1) / lisa(1) / lynette(1) / lyney(1) / mavuika(1) / mizuki(1) / neuvillette(1) / nilou(1) / sara(1) / sayu(1) / shenhe(1) / tighnari(1) / wriothesley(1) / yoimiya(1),peakpatrolsong(6) / urakumisugiri(6) / cinnabarspindle(5) / harbingerofdawn(5) / harangeppakufutsu(3) / mistsplitterreforged(3) / primordialjadecutter(3) / favoniussword(2) / favoniuswarbow(2) / fluteofezpitzal(2) / lightoffoliarincision(2) / verdict(2) / aquasimulacra(1) / aquilafavonia(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / cashflowsupervision(1) / crescentpike(1) / crimsonmoonssemblance(1) / deathmatch(1) / elegyfortheend(1) / endoftheline(1) / engulfinglightning(1) / fadingtwilight(1) / festeringdesire(1) / fleuvecendreferryman(1) / freedomsworn(1) / fruitoffulfillment(1) / hunterspath(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / lostprayertothesacredwinds(1) / prototypeamber(1) / prototypearchaic(1) / prototyperancour(1) / redhornstonethresher(1) / rust(1) / sacrificialfragments(1) / serpentspine(1) / splendoroftranquilwaters(1) / thealleyflash(1) / thecatch(1) / thewidsith(1) / thunderingpulse(1),goldentroupe(7) / huskofopulentdreams(7) / archaicpetra(3) / viridescentvenerer(3) / noblesseoblige(2) / scrolloftheheroofcindercity(2) / tenacityofthemillelith(2) / flowerofparadiselost(1) / fragmentofharmonicwhimsy(1) / instructor(1) / lavawalker(1) / nighttimewhispersintheechoingwoods(1) / obsidiancodex(1) / oceanhuedclam(1) / theexile(1) / vermillionhereafter(1)
alhaitham,alhaitham(10) / nahida(9) / kukishinobu(8) / xingqiu(8) / yaoyao(8) / fischl(7) / nilou(7) / raiden(7) / zhongli(7) / kokomi(6) / yaemiko(6) / furina(5) / yelan(5) / barbara(4) / dehya(4) / kaveh(4) / lauma(4) / lisa(4) / thoma(4) / amber(3) / baizhu(3) / beidou(3) / dori(3) / escoffier(3) / kazuha(3) / kirara(3) / layla(3) / sara(3) / sucrose(3) / xiangling(3) / albedo(2) / bennett(2) / candace(2) / chiori(2) / citlali(2) / collei(2) / diona(2) / emilie(2) / faruzan(2) / gaming(2) / ineffa(2) / jean(2) / keqing(2) / kinich(2) / mona(2) / skirk(2) / tighnari(2) / venti(2) / xianyun(2) / yunjin(2) / aloy(1) / arlecchino(1) / ayaka(1) / ayato(1) / charlotte(1) / chasca(1) / chevreuse(1) / chongyun(1) / clorinde(1) / cyno(1) / dahlia(1) / diluc(1) / eula(1) / flins(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / hutao(1) / itto(1) / kaeya(1) / klee(1) / lanyan(1) / lynette(1) / lyney(1) / mavuika(1) / mika(1) / mizuki(1) / mualani(1) / navia(1) / neuvillette(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / rosaria(1) / sayu(1) / sethos(1) / shenhe(1) / sigewinne(1) / varesa(1) / wanderer(1) / wriothesley(1) / xiao(1) / xilonen(1) / xinyan(1) / yanfei(1) / yoimiya(1),favoniussword(5) / lightoffoliarincision(5) / splendoroftranquilwaters(4) / keyofkhajnisut(3) / sacrificialsword(3) / xiphosmoonlight(3) / athousandfloatingdreams(2) / favoniuslance(2) / festeringdesire(2) / fleuvecendreferryman(2) / freedomsworn(2) / kagurasverity(2) / mistsplitterreforged(2) / primordialjadecutter(2) / staffofhoma(2) / thewidsith(2) / wanderingevenstar(2) / absolution(1) / aquasimulacra(1) / dialoguesofthedesertsages(1) / elegyfortheend(1) / favoniuswarbow(1) / finaleofthedeep(1) / hakushinring(1) / harangeppakufutsu(1) / harbingerofdawn(1) / ironsting(1) / prototypeamber(1) / sacrificialfragments(1) / theblackspoon(1) / thedockhandsassistant(1) / urakumisugiri(1),deepwoodmemories(7) / gildeddreams(7) / flowerofparadiselost(4) / goldentroupe(4) / marechausseehunter(4) / tenacityofthemillelith(3) / emblemofseveredfate(2) / instructor(2) / silkenmoonsserenade(2) / unfinishedreverie(1) / viridescentvenerer(1) / vourukashasglow(1)
aloy,aloy(10) / ayaka(8) / xiangling(8) / bennett(7) / chongyun(7) / diona(7) / ganyu(7) / kazuha(7) / kokomi(7) / sucrose(7) / xingqiu(7) / jean(6) / mona(6) / qiqi(6) / venti(6) / charlotte(5) / furina(5) / gaming(5) / kaeya(5) / klee(5) / layla(5) / rosaria(5) / shenhe(5) / yelan(5) / albedo(4) / arlecchino(4) / ayato(4) / barbara(4) / chevreuse(4) / chiori(4) / collei(4) / cyno(4) / diluc(4) / dori(4) / faruzan(4) / fischl(4) / freminet(4) / gorou(4) / heizou(4) / hutao(4) / itto(4) / kukishinobu(4) / lynette(4) / lyney(4) / mika(4) / nahida(4) / navia(4) / neuvillette(4) / nilou(4) / sara(4) / thoma(4) / tighnari(4) / wanderer(4) / wriothesley(4) / xianyun(4) / xiao(4) / yaemiko(4) / yunjin(4) / zhongli(4) / alhaitham(3) / amber(3) / baizhu(3) / beidou(3) / candace(3) / citlali(3) / clorinde(3) / dehya(3) / emilie(3) / escoffier(3) / eula(3) / kaveh(3) / keqing(3) / kinich(3) / kirara(3) / lisa(3) / mualani(3) / ningguang(3) / noelle(3) / raiden(3) / razor(3) / sayu(3) / sethos(3) / sigewinne(3) / skirk(3) / xilonen(3) / xinyan(3) / yanfei(3) / yaoyao(3) / yoimiya(3) / chasca(2) / dahlia(2) / flins(2) / ineffa(2) / lanyan(2) / lauma(2) / mavuika(2) / mizuki(2) / ororon(2) / tartaglia(2) / varesa(2),aquasimulacra(4) / elegyfortheend(4) / engulfinglightning(4) / sacrificialbow(4) / favoniuswarbow(3) / polarstar(3) / thecatch(3) / thunderingpulse(3) / amenomakageuchi(2) / everlastingmoonglow(2) / favoniuscodex(2) / favoniussword(2) / freedomsworn(2) / hunterspath(2) / ironsting(2) / lostprayertothesacredwinds(2) / mappamare(2) / mistsplitterreforged(2) / rust(2) / sacrificialfragments(2) / sacrificialsword(2) / serpentspine(2) / skywardatlas(2) / skywardblade(2) / skywardharp(2) / thestringless(2) / thewidsith(2) / thrillingtalesofdragonslayers(2) / amosbow(1) / aquilafavonia(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / chainbreaker(1) / crescentpike(1) / endoftheline(1) / fadingtwilight(1) / harangeppakufutsu(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / mouunsmoon(1) / prototypearchaic(1) / prototypecrescent(1) / prototyperancour(1) / theviridescenthunt(1) / verdict(1) / wolfsgravestone(1),emblemofseveredfate(6) / noblesseoblige(6) / blizzardstrayer(5) / crimsonwitchofflames(2) / maidenbeloved(2) / tenacityofthemillelith(2) / viridescentvenerer(2) / gildeddreams(1) / marechausseehunter(1) / obsidiancodex(1) / scholar(1) / scrolloftheheroofcindercity(1)
amber,amber(10) / bennett(8) / kazuha(8) / zhongli(7) / ganyu(6) / xingqiu(6) / ayaka(5) / diona(5) / fischl(5) / gaming(5) / hutao(5) / raiden(5) / rosaria(5) / sucrose(5) / xiangling(5) / yelan(5) / yoimiya(5) / diluc(4) / kokomi(4) / mona(4) / venti(4) / wanderer(4) / ayato(3) / barbara(3) / beidou(3) / chongyun(3) / citlali(3) / collei(3) / dehya(3) / furina(3) / heizou(3) / jean(3) / kirara(3) / klee(3) / lanyan(3) / layla(3) / lynette(3) / lyney(3) / mavuika(3) / nahida(3) / nilou(3) / sayu(3) / xilonen(3) / xinyan(3) / yaoyao(3) / albedo(2) / alhaitham(2) / aloy(2) / arlecchino(2) / baizhu(2) / candace(2) / charlotte(2) / chasca(2) / chevreuse(2) / chiori(2) / clorinde(2) / cyno(2) / dahlia(2) / dori(2) / emilie(2) / escoffier(2) / eula(2) / faruzan(2) / flins(2) / freminet(2) / gorou(2) / ineffa(2) / itto(2) / kaeya(2) / kaveh(2) / keqing(2) / kinich(2) / kukishinobu(2) / lauma(2) / lisa(2) / mika(2) / mizuki(2) / mualani(2) / navia(2) / neuvillette(2) / ningguang(2) / noelle(2) / ororon(2) / qiqi(2) / razor(2) / sara(2) / sethos(2) / shenhe(2) / sigewinne(2) / skirk(2) / thoma(2) / tighnari(2) / varesa(2) / wriothesley(2) / xianyun(2) / xiao(2) / yaemiko(2) / yanfei(2) / yunjin(2),skywardharp(6) / elegyfortheend(4) / prototypecrescent(4) / thestringless(4) / freedomsworn(3) / polarstar(3) / sacrificialsword(3) / thunderingpulse(3) / amenomakageuchi(2) / aquasimulacra(2) / blacktassel(2) / engulfinglightning(2) / favoniussword(2) / favoniuswarbow(2) / hamayumi(2) / ibispiercer(2) / ironsting(2) / mistsplitterreforged(2) / rust(2) / sharpshootersoath(2) / skywardblade(2) / staffofhoma(2) / thecatch(2) / amosbow(1) / aquilafavonia(1) / blackcliffwarbow(1) / cloudforged(1) / fadingtwilight(1) / hunterspath(1) / messenger(1) / mouunsmoon(1) / ravenbow(1) / sacrificialbow(1) / sacrificialfragments(1) / slingshot(1) / splendoroftranquilwaters(1) / thrillingtalesofdragonslayers(1) / windblumeode(1),noblesseoblige(6) / crimsonwitchofflames(4) / emblemofseveredfate(4) / viridescentvenerer(4) / tenacityofthemillelith(3) / blizzardstrayer(2) / scrolloftheheroofcindercity(2) / shimenawasreminiscence(2) / thunderingfury(2) / braveheart(1) / desertpavilionchronicle(1) / flowerofparadiselost(1) / gildeddreams(1) / goldentroupe(1) / instructor(1) / marechausseehunter(1) / martialartist(1) / wandererstroupe(1)
arlecchino,arlecchino(10) / bennett(8) / chevreuse(8) / fischl(8) / kazuha(7) / yelan(7) / xiangling(6) / xingqiu(6) / zhongli(6) / citlali(5) / gaming(5) / sucrose(5) / xilonen(5) / beidou(4) / rosaria(4) / thoma(4) / chiori(3) / furina(3) / lanyan(3) / layla(3) / mavuika(3) / yaemiko(3) / yanfei(3) / albedo(2) / charlotte(2) / clorinde(2) / dehya(2) / diluc(2) / jean(2) / klee(2) / lyney(2) / neuvillette(2) / ororon(2) / sethos(2) / wanderer(2) / yoimiya(2) / yunjin(2) / alhaitham(1) / aloy(1) / amber(1) / ayaka(1) / ayato(1) / baizhu(1) / barbara(1) / candace(1) / chasca(1) / chongyun(1) / collei(1) / cyno(1) / dahlia(1) / diona(1) / dori(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / kaeya(1) / kaveh(1) / keqing(1) / kinich(1) / kirara(1) / kokomi(1) / kukishinobu(1) / lauma(1) / lisa(1) / lynette(1) / mika(1) / mizuki(1) / mona(1) / mualani(1) / nahida(1) / navia(1) / nilou(1) / ningguang(1) / noelle(1) / qiqi(1) / raiden(1) / razor(1) / sara(1) / sayu(1) / shenhe(1) / sigewinne(1) / skirk(1) / tighnari(1) / varesa(1) / venti(1) / wriothesley(1) / xianyun(1) / xiao(1) / xinyan(1) / yaoyao(1),crimsonmoonssemblance(5) / deathmatch(4) / primordialjadewingedspear(3) / staffofhoma(3) / staffofthescarletsands(3) / whitetassel(3) / elegyfortheend(2) / favoniuslance(2) / favoniussword(2) / freedomsworn(2) / missivewindspear(2) / mistsplitterreforged(2) / rust(2) / thrillingtalesofdragonslayers(2) / aquasimulacra(1) / aquilafavonia(1) / athousandblazingsuns(1) / balladofthefjords(1) / blacktassel(1) / calamityqueller(1) / engulfinglightning(1) / favoniuswarbow(1) / peakpatrolsong(1) / sacrificialbow(1) / serpentspine(1) / skywardblade(1) / skywardharp(1) / splendoroftranquilwaters(1) / thealleyflash(1) / urakumisugiri(1) / xiphosmoonlight(1),fragmentofharmonicwhimsy(5) / viridescentvenerer(3) / crimsonwitchofflames(2) / emblemofseveredfate(2) / gladiatorsfinale(2) / goldentroupe(2) / instructor(2) / noblesseoblige(2) / scrolloftheheroofcindercity(2) / tenacityofthemillelith(2) / archaicpetra(1) / desertpavilionchronicle(1) / gildeddreams(1) / obsidiancodex(1) / shimenawasreminiscence(1) / songofdayspast(1)
ayaka,ayaka(10) / diona(7) / ganyu(7) / kazuha(7) / mona(7) / shenhe(6) / venti(6) / xingqiu(6) / kokomi(5) / ayato(4) / bennett(4) / rosaria(4) / dehya(3) / gaming(3) / raiden(3) / sucrose(3) / amber(2) / barbara(2) / chongyun(2) / faruzan(2) / kaeya(2) / kukishinobu(2) / sara(2) / xiangling(2) / yelan(2) / albedo(1) / alhaitham(1) / aloy(1) / arlecchino(1) / baizhu(1) / beidou(1) / candace(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / citlali(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / diluc(1) / dori(1) / emilie(1) / escoffier(1) / eula(1) / fischl(1) / flins(1) / freminet(1) / furina(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / jean(1) / kaveh(1) / keqing(1) / kinich(1) / kirara(1) / klee(1) / lanyan(1) / lauma(1) / layla(1) / lisa(1) / lynette(1) / lyney(1) / mavuika(1) / mika(1) / mizuki(1) / mualani(1) / nahida(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sayu(1) / sethos(1) / sigewinne(1) / skirk(1) / thoma(1) / tighnari(1) / varesa(1) / wanderer(1) / wriothesley(1) / xianyun(1) / xiao(1) / xilonen(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1) / zhongli(1),sacrificialbow(5) / calamityqueller(4) / mistsplitterreforged(4) / amenomakageuchi(3) / favoniuslance(3) / favoniussword(3) / freedomsworn(3) / thrillingtalesofdragonslayers(3) / aquilafavonia(2) / elegyfortheend(2) / everlastingmoonglow(2) / favoniuscodex(2) / favoniusgreatsword(2) / favoniuswarbow(2) / hamayumi(2) / harangeppakufutsu(2) / ironsting(2) / rust(2) / skywardatlas(2) / skywardspine(2) / theblackspoon(2) / amosbow(1) / athousandfloatingdreams(1) / blacktassel(1) / lightoffoliarincision(1) / prototypeamber(1) / sacrificialsword(1) / splendoroftranquilwaters(1) / staffofthescarletsands(1) / summitshaper(1) / wavebreakersfin(1),blizzardstrayer(6) / noblesseoblige(5) / viridescentvenerer(5) / tenacityofthemillelith(4) / echoesofanoffering(3) / maidenbeloved(3) / crimsonwitchofflames(1) / emblemofseveredfate(1) / gildeddreams(1) / gladiatorsfinale(1) / goldentroupe(1) / heartofdepth(1) / scholar(1) / shimenawasreminiscence(1) / vermillionhereafter(1)
ayato,ayato(10) / ganyu(8) / kazuha(8) / xingqiu(8) / furina(7) / kokomi(7) / kukishinobu(7) / nahida(7) / xiangling(7) / yunjin(7) / zhongli(7) / ayaka(6) / diona(6) / fischl(6) / venti(6) / yelan(6) / amber(5) / baizhu(5) / beidou(5) / bennett(5) / hutao(5) / jean(5) / kaeya(5) / layla(5) / nilou(5) / raiden(5) / thoma(5) / candace(4) / citlali(4) / escoffier(4) / gaming(4) / ineffa(4) / mona(4) / ororon(4) / sayu(4) / sucrose(4) / xilonen(4) / yoimiya(4) / albedo(3) / charlotte(3) / chiori(3) / collei(3) / dahlia(3) / emilie(3) / kirara(3) / lanyan(3) / lauma(3) / mavuika(3) / mika(3) / neuvillette(3) / noelle(3) / rosaria(3) / sara(3) / shenhe(3) / xianyun(3) / yaoyao(3) / alhaitham(2) / barbara(2) / chongyun(2) / cyno(2) / dehya(2) / dori(2) / faruzan(2) / heizou(2) / kaveh(2) / keqing(2) / lisa(2) / lynette(2) / mualani(2) / razor(2) / skirk(2) / wanderer(2) / yaemiko(2) / aloy(1) / arlecchino(1) / chasca(1) / chevreuse(1) / clorinde(1) / diluc(1) / eula(1) / flins(1) / freminet(1) / gorou(1) / itto(1) / kinich(1) / klee(1) / lyney(1) / mizuki(1) / navia(1) / ningguang(1) / qiqi(1) / sethos(1) / sigewinne(1) / tartaglia(1) / tighnari(1) / varesa(1) / wriothesley(1) / xiao(1) / xinyan(1) / yanfei(1),harangeppakufutsu(5) / mistsplitterreforged(5) / skywardblade(5) / splendoroftranquilwaters(5) / theblackspoon(5) / amenomakageuchi(4) / favoniussword(4) / freedomsworn(4) / thrillingtalesofdragonslayers(4) / absolution(3) / elegyfortheend(3) / favoniuslance(3) / favoniuswarbow(3) / finaleofthedeep(3) / fleuvecendreferryman(3) / harbingerofdawn(3) / ironsting(3) / kagotsurubeisshin(3) / lightoffoliarincision(3) / primordialjadecutter(3) / prototypeamber(3) / sacrificialbow(3) / summitshaper(3) / urakumisugiri(3) / aquasimulacra(2) / athousandfloatingdreams(2) / azurelight(2) / blacktassel(2) / deathmatch(2) / everlastingmoonglow(2) / hamayumi(2) / kitaincrossspear(2) / rust(2) / sacrificialfragments(2) / serpentspine(2) / skywardharp(2) / skywardpride(2) / solarpearl(2) / staffofhoma(2) / theflute(2) / thestringless(2) / thunderingpulse(2) / aquilafavonia(1) / blackclifflongsword(1) / calamityofeshu(1) / dragonsbane(1) / favoniuscodex(1) / hakushinring(1) / hunterspath(1) / lionsroar(1) / sacrificialgreatsword(1) / sapwoodblade(1) / thecatch(1) / xiphosmoonlight(1),viridescentvenerer(6) / emblemofseveredfate(5) / blizzardstrayer(4) / deepwoodmemories(4) / gildeddreams(4) / noblesseoblige(4) / tenacityofthemillelith(4) / thunderingfury(4) / crimsonwitchofflames(3) / echoesofanoffering(3) / flowerofparadiselost(3) / heartofdepth(3) / marechausseehunter(3) / scrolloftheheroofcindercity(3) / archaicpetra(2) / goldentroupe(2) / huskofopulentdreams(2) / maidenbeloved(2) / unfinishedreverie(2) / desertpavilionchronicle(1) / nymphsdream(1) / shimenawasreminiscence(1)
baizhu,baizhu(10) / alhaitham(9) / cyno(9) / fischl(9) / nahida(9) / raiden(9) / xingqiu(9) / yelan(9) / ayato(8) / amber(7) / kaveh(7) / nilou(7) / yaemiko(7) / furina(6) / kukishinobu(6) / beidou(5) / emilie(5) / gaming(5) / kazuha(5) / keqing(5) / thoma(5) / tighnari(5) / collei(4) / neuvillette(4) / sara(4) / sucrose(4) / xiangling(4) / yaoyao(4) / barbara(3) / candace(3) / faruzan(3) / heizou(3) / ineffa(3) / kinich(3) / kirara(3) / kokomi(3) / lauma(3) / layla(3) / noelle(3) / razor(3) / yoimiya(3) / zhongli(3) / albedo(2) / aloy(2) / arlecchino(2) / ayaka(2) / bennett(2) / charlotte(2) / chasca(2) / chevreuse(2) / chiori(2) / chongyun(2) / citlali(2) / clorinde(2) / dahlia(2) / dehya(2) / diluc(2) / diona(2) / dori(2) / escoffier(2) / eula(2) / flins(2) / freminet(2) / ganyu(2) / gorou(2) / hutao(2) / itto(2) / jean(2) / kaeya(2) / klee(2) / lanyan(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / mika(2) / mizuki(2) / mona(2) / mualani(2) / navia(2) / ningguang(2) / ororon(2) / qiqi(2) / rosaria(2) / sayu(2) / sethos(2) / shenhe(2) / sigewinne(2) / skirk(2) / varesa(2) / venti(2) / wanderer(2) / wriothesley(2) / xianyun(2) / xiao(2) / xilonen(2) / xinyan(2) / yanfei(2) / yunjin(2) / tartaglia(1),prototypeamber(6) / jadefallssplendor(4) / athousandfloatingdreams(3) / favoniuscodex(3) / lightoffoliarincision(3) / sacrificialsword(3) / staffofthescarletsands(3) / thrillingtalesofdragonslayers(3) / wanderingevenstar(3) / aquasimulacra(2) / deathmatch(2) / dragonsbane(2) / everlastingmoonglow(2) / favoniusgreatsword(2) / favoniussword(2) / favoniuswarbow(2) / hakushinring(2) / harbingerofdawn(2) / kagurasverity(2) / keyofkhajnisut(2) / primordialjadecutter(2) / serpentspine(2) / skywardpride(2) / splendoroftranquilwaters(2) / theblackspoon(2) / thestringless(2) / thewidsith(2) / elegyfortheend(1) / engulfinglightning(1) / freedomsworn(1) / harangeppakufutsu(1) / sacrificialfragments(1) / skywardharp(1) / thedockhandsassistant(1) / thunderingpulse(1),deepwoodmemories(7) / oceanhuedclam(5) / emblemofseveredfate(3) / flowerofparadiselost(3) / gildeddreams(3) / noblesseoblige(3) / thunderingfury(3) / goldentroupe(2) / tenacityofthemillelith(2) / crimsonwitchofflames(1) / echoesofanoffering(1) / instructor(1) / maidenbeloved(1) / viridescentvenerer(1) / vourukashasglow(1)
barbara,barbara(10) / amber(6) / beidou(5) / fischl(5) / gaming(5) / sucrose(5) / xiangling(5) / xingqiu(5) / ayaka(4) / bennett(4) / jean(4) / kaeya(4) / kazuha(4) / kokomi(4) / nilou(4) / raiden(4) / venti(4) / wanderer(4) / yelan(4) / albedo(3) / alhaitham(3) / ayato(3) / baizhu(3) / collei(3) / cyno(3) / diona(3) / furina(3) / ganyu(3) / hutao(3) / kaveh(3) / klee(3) / nahida(3) / razor(3) / rosaria(3) / sara(3) / shenhe(3) / thoma(3) / yanfei(3) / zhongli(3) / aloy(2) / arlecchino(2) / candace(2) / charlotte(2) / chasca(2) / chevreuse(2) / chiori(2) / chongyun(2) / citlali(2) / clorinde(2) / dahlia(2) / dehya(2) / diluc(2) / dori(2) / emilie(2) / escoffier(2) / eula(2) / faruzan(2) / flins(2) / freminet(2) / gorou(2) / heizou(2) / ineffa(2) / itto(2) / keqing(2) / kinich(2) / kirara(2) / kukishinobu(2) / lanyan(2) / lauma(2) / layla(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / mika(2) / mizuki(2) / mona(2) / mualani(2) / navia(2) / neuvillette(2) / ningguang(2) / noelle(2) / ororon(2) / qiqi(2) / sayu(2) / sethos(2) / sigewinne(2) / skirk(2) / tighnari(2) / varesa(2) / wriothesley(2) / xianyun(2) / xiao(2) / xilonen(2) / xinyan(2) / yaemiko(2) / yaoyao(2) / yoimiya(2) / yunjin(2),prototypeamber(5) / everlastingmoonglow(4) / thrillingtalesofdragonslayers(4) / favoniuscodex(3) / sacrificialfragments(3) / athousandfloatingdreams(2) / elegyfortheend(2) / otherworldlystory(2) / rust(2) / skywardatlas(2) / thewidsith(2) / wanderingevenstar(2) / amenomakageuchi(1) / aquasimulacra(1) / aquilafavonia(1) / astralvulturescrimsonplumage(1) / cashflowsupervision(1) / deathmatch(1) / engulfinglightning(1) / favoniuswarbow(1) / freedomsworn(1) / fruitoffulfillment(1) / harangeppakufutsu(1) / harbingerofdawn(1) / jadefallssplendor(1) / keyofkhajnisut(1) / kitaincrossspear(1) / lightoffoliarincision(1) / lostprayertothesacredwinds(1) / magicguide(1) / mappamare(1) / mistsplitterreforged(1) / prototypearchaic(1) / prototypecrescent(1) / serpentspine(1) / skywardpride(1) / splendoroftranquilwaters(1) / staffofhoma(1) / staffofthescarletsands(1) / thecatch(1) / tomeoftheeternalflow(1) / wineandsong(1),oceanhuedclam(6) / gildeddreams(4) / maidenbeloved(3) / noblesseoblige(3) / viridescentvenerer(3) / crimsonwitchofflames(2) / deepwoodmemories(2) / emblemofseveredfate(2) / flowerofparadiselost(2) / tenacityofthemillelith(2) / blizzardstrayer(1) / echoesofanoffering(1) / goldentroupe(1) / heartofdepth(1) / instructor(1) / obsidiancodex(1) / scrolloftheheroofcindercity(1) / songofdayspast(1) / vourukashasglow(1) / wandererstroupe(1)
beidou,beidou(10) / fischl(7) / xingqiu(7) / yoimiya(7) / raiden(6) / sucrose(6) / ayato(5) / bennett(5) / cyno(5) / diona(5) / eula(5) / gaming(5) / jean(5) / kazuha(5) / keqing(5) / venti(5) / barbara(4) / candace(4) / chevreuse(4) / chongyun(4) / clorinde(4) / dori(4) / kaeya(4) / mona(4) / nahida(4) / sara(4) / sethos(4) / xilonen(4) / xinyan(4) / yaemiko(4) / zhongli(4) / albedo(3) / alhaitham(3) / aloy(3) / amber(3) / arlecchino(3) / ayaka(3) / baizhu(3) / charlotte(3) / chiori(3) / collei(3) / dehya(3) / diluc(3) / emilie(3) / faruzan(3) / flins(3) / freminet(3) / furina(3) / ganyu(3) / gorou(3) / heizou(3) / hutao(3) / ineffa(3) / itto(3) / kaveh(3) / kinich(3) / kirara(3) / klee(3) / kokomi(3) / kukishinobu(3) / layla(3) / lisa(3) / lynette(3) / lyney(3) / mika(3) / mualani(3) / navia(3) / neuvillette(3) / nilou(3) / ningguang(3) / noelle(3) / qiqi(3) / razor(3) / rosaria(3) / sayu(3) / shenhe(3) / sigewinne(3) / thoma(3) / tighnari(3) / wanderer(3) / wriothesley(3) / xiangling(3) / xianyun(3) / xiao(3) / yanfei(3) / yaoyao(3) / yelan(3) / yunjin(3) / chasca(2) / citlali(2) / dahlia(2) / escoffier(2) / lanyan(2) / lauma(2) / mavuika(2) / mizuki(2) / ororon(2) / skirk(2) / varesa(2) / tartaglia(1),serpentspine(5) / wolfsgravestone(5) / akuoumaru(3) / beaconofthereedsea(3) / redhornstonethresher(3) / rust(3) / rainslasher(2) / skywardpride(2) / theunforged(2) / thrillingtalesofdragonslayers(2) / absolution(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / blacktassel(1) / dragonsbane(1) / elegyfortheend(1) / engulfinglightning(1) / fangofthemountainking(1) / favoniussword(1) / forestregalia(1) / harangeppakufutsu(1) / lithicblade(1) / luxurioussealord(1) / makhairaaquamarine(1) / peakpatrolsong(1) / prototypearchaic(1) / sacrificialgreatsword(1) / sacrificialsword(1) / skywardatlas(1) / skywardblade(1) / skywardharp(1) / songofbrokenpines(1) / staffofhoma(1) / thecatch(1) / thestringless(1) / thewidsith(1) / thunderingpulse(1) / verdict(1),emblemofseveredfate(6) / noblesseoblige(5) / thunderingfury(5) / gildeddreams(2) / thundersoother(2) / viridescentvenerer(2) / blizzardstrayer(1) / deepwoodmemories(1) / echoesofanoffering(1) / fragmentofharmonicwhimsy(1) / gladiatorsfinale(1) / oceanhuedclam(1) / paleflame(1) / retracingbolide(1) / scrolloftheheroofcindercity(1) / tenacityofthemillelith(1)
